BJ_5G,Santi-2G,BJ_2G,ARI_2G,VIVOFIBRA-1EB0,Santi-5G,Unnamed: 6,class,Lais,#NET-CLARO-WIFI,CLARO_2G46D856,ANA 2.4G,Rubens_2.4,INA ,plenna_inteligenti,Unnamed: 15,Familia,Unnamed: 17,VIVOFIBRA-FF20,InÃ¡ Corp,Cozinha da InÃ¡,((TURIS)),Maria_2G,BUCKER,AMNET85_8295,CLARO_2G92213C,Unnamed: 26,VIVOFIBRA-F7E8,((Internacional)),2G Lucineia,ALEXANDRE1,andre,,CLARO_2G743AC1,INA _EXT
-45,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,q1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-45,-70.0,-41.0,-94.0,-86.0,-77.0,-100.0,q1,-88.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-41.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-45,-78.0,-32.0,-94.0,-93.0,-77.0,-100.0,q1,-91.0,-95.0,-88.0,-100.0,-100.0,-100.0,-100.0,-32.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-44,-69.0,-36.0,-91.0,-77.0,-75.0,-100.0,q1,-92.0,-93.0,-84.0,-100.0,-100.0,-100.0,-100.0,-34.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-56,-61.0,-44.0,-92.0,-87.0,-68.0,-100.0,s1,-86.0,-90.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-95.0,-44.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-56,-62.0,-47.0,-93.0,-86.0,-71.0,-100.0,s1,-89.0,-90.0,-85.0,-87.0,-100.0,-100.0,-100.0,-100.0,-95.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-55,-65.0,-47.0,-93.0,-84.0,-66.0,-100.0,s1,-91.0,-94.0,-85.0,-87.0,-100.0,-100.0,-100.0,-100.0,-95.0,-54.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-47,-60.0,-40.0,-93.0,-82.0,-65.0,-100.0,s1,-94.0,-94.0,-85.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-52.0,-95.0,-95.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-47,-55.0,-40.0,-100.0,-83.0,-63.0,-100.0,s1,-91.0,-94.0,-88.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-40.0,-95.0,-95.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-50,-49.0,-40.0,-100.0,-84.0,-61.0,-100.0,s1,-91.0,-94.0,-91.0,-100.0,-100.0,-88.0,-100.0,-100.0,-95.0,-41.0,-95.0,-95.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-58,-49.0,-40.0,-100.0,-84.0,-61.0,-100.0,s1,-91.0,-91.0,-91.0,-100.0,-100.0,-88.0,-100.0,-100.0,-95.0,-41.0,-100.0,-95.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-58,-53.0,-40.0,-100.0,-88.0,-65.0,-100.0,s1,-91.0,-91.0,-88.0,-100.0,-100.0,-88.0,-100.0,-100.0,-95.0,-49.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-56,-63.0,-37.0,-100.0,-89.0,-70.0,-100.0,s1,-92.0,-94.0,-89.0,-100.0,-100.0,-88.0,-94.0,-100.0,-91.0,-56.0,-100.0,-100.0,-94.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-63.0,-37.0,-100.0,-89.0,-70.0,-100.0,s1,-92.0,-94.0,-89.0,-100.0,-100.0,-88.0,-94.0,-100.0,-91.0,-56.0,-100.0,-100.0,-94.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-61.0,-46.0,-100.0,-85.0,-69.0,-100.0,s1,-88.0,-94.0,-89.0,-92.0,-100.0,-100.0,-94.0,-100.0,-91.0,-46.0,-100.0,-100.0,-94.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-60.0,-47.0,-100.0,-80.0,-68.0,-100.0,s1,-95.0,-94.0,-89.0,-92.0,-100.0,-100.0,-94.0,-100.0,-91.0,-51.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-63.0,-46.0,-94.0,-80.0,-68.0,-100.0,s1,-95.0,-94.0,-89.0,-90.0,-100.0,-100.0,-94.0,-100.0,-93.0,-53.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-55,-63.0,-46.0,-94.0,-80.0,-69.0,-100.0,s1,-95.0,-94.0,-89.0,-90.0,-100.0,-100.0,-94.0,-100.0,-93.0,-47.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-55,-63.0,-46.0,-94.0,-80.0,-69.0,-100.0,s1,-95.0,-94.0,-89.0,-90.0,-100.0,-100.0,-94.0,-100.0,-93.0,-47.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-63.0,-46.0,-94.0,-80.0,-69.0,-100.0,s1,-95.0,-94.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-93.0,-47.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-71.0,-46.0,-94.0,-80.0,-64.0,-100.0,s1,-95.0,-94.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-93.0,-44.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-53,-59.0,-41.0,-94.0,-91.0,-63.0,-100.0,s1,-93.0,-94.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-93.0,-41.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-53,-54.0,-46.0,-94.0,-88.0,-62.0,-100.0,s1,-91.0,-95.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-53,-53.0,-54.0,-94.0,-85.0,-56.0,-100.0,s1,-92.0,-95.0,-90.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-54.0,-41.0,-94.0,-87.0,-62.0,-100.0,s1,-93.0,-95.0,-89.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-43.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-54,-54.0,-41.0,-100.0,-87.0,-62.0,-100.0,s1,-93.0,-95.0,-89.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-43.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-49.0,-45.0,-100.0,-79.0,-61.0,-100.0,s1,-93.0,-95.0,-88.0,-91.0,-100.0,-95.0,-100.0,-100.0,-100.0,-46.0,-100.0,-100.0,-100.0,-100.0,-94.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-63,-50.0,-56.0,-89.0,-84.0,-62.0,-100.0,s1,-100.0,-90.0,-88.0,-92.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-95.0,-92.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-63,-52.0,-44.0,-93.0,-83.0,-57.0,-100.0,s1,-100.0,-90.0,-100.0,-92.0,-91.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-95.0,-92.0,-44.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-63,-58.0,-47.0,-94.0,-90.0,-57.0,-100.0,s1,-100.0,-90.0,-87.0,-92.0,-91.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-90.0,-95.0,-92.0,-48.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-63,-58.0,-47.0,-94.0,-90.0,-57.0,-100.0,s1,-100.0,-90.0,-87.0,-92.0,-91.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-48.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-65,-53.0,-46.0,-90.0,-86.0,-57.0,-100.0,s1,-95.0,-90.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-95.0,-94.0,-100.0,-100.0,-94.0,-100.0,-100.0,-46.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-65,-57.0,-62.0,-94.0,-84.0,-58.0,-100.0,s1,-95.0,-89.0,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-95.0,-94.0,-100.0,-94.0,-94.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-65,-57.0,-48.0,-90.0,-88.0,-64.0,-100.0,s1,-91.0,-89.0,-87.0,-87.0,-92.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-94.0,-92.0,-91.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-65,-51.0,-50.0,-95.0,-83.0,-62.0,-100.0,s1,-92.0,-94.0,-89.0,-94.0,-92.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-91.0,-91.0,-92.0,-57.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-64,-50.0,-47.0,-91.0,-82.0,-58.0,-100.0,s1,-92.0,-91.0,-88.0,-94.0,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-93.0,-100.0,-94.0,-91.0,-91.0,-92.0,-48.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
